Country,CustomerID,InvoiceDate,InvoiceNo,Number_article,Price,Recency
United Kingdom,15605.0,2010-12-01 13:38:00,536535.0,12.0,194.85000000000002,372.0
United Kingdom,18144.0,2010-12-01 13:45:00,536536.0,3.0,165.04999999999998,372.0
United Kingdom,15922.0,2010-12-01 13:51:00,536537.0,11.0,369.50000000000006,372.0
United Kingdom,14594.0,2010-12-01 13:54:00,536538.0,31.0,254.99999999999997,372.0
United Kingdom,15165.0,2010-12-01 14:03:00,536539.0,27.0,487.75,372.0
EIRE,14911.0,2010-12-01 14:05:00,536540.0,20.0,540.3799999999999,372.0
EIRE,14911.0,2010-12-01 14:05:00,536541.0,1.0,15.0,372.0
United Kingdom,16456.0,2010-12-01 14:11:00,536542.0,16.0,787.4,372.0
United Kingdom,17346.0,2010-12-01 14:34:00,536551.0,35.0,146.60999999999999,372.0
United Kingdom,17643.0,2010-12-01 14:38:00,536556.0,8.0,101.55,372.0
United Kingdom,17841.0,2010-12-01 14:41:00,536557.0,65.0,537.3800000000001,372.0
United Kingdom,17873.0,2010-12-01 14:54:00,536559.0,9.0,215.14999999999998,372.0
United Kingdom,13093.0,2010-12-01 15:00:00,536560.0,13.0,799.4,372.0
United Kingdom,12921.0,2010-12-01 15:06:00,536561.0,15.0,322.4,372.0
United Kingdom,13468.0,2010-12-01 15:08:00,536562.0,18.0,308.65000000000003,372.0
United Kingdom,17760.0,2010-12-01 15:08:00,536563.0,9.0,172.54,372.0
United Kingdom,13468.0,2010-12-01 15:08:00,536564.0,2.0,51.4,372.0
United Kingdom,16928.0,2010-12-01 15:21:00,536566.0,6.0,116.25,372.0
United Kingdom,16048.0,2010-12-01 15:27:00,536567.0,7.0,251.40000000000003,372.0
United Kingdom,16048.0,2010-12-01 15:28:00,536568.0,1.0,5.04,372.0
United Kingdom,16274.0,2010-12-01 15:35:00,536569.0,67.0,357.94999999999993,372.0
United Kingdom,14496.0,2010-12-01 15:35:00,536570.0,5.0,304.34000000000003,372.0
United Kingdom,14696.0,2010-12-01 15:37:00,536571.0,18.0,294.61999999999995,372.0
United Kingdom,16539.0,2010-12-01 15:40:00,536572.0,21.0,442.35,372.0
United Kingdom,17025.0,2010-12-01 15:45:00,536573.0,4.0,143.12,372.0
United Kingdom,17025.0,2010-12-01 15:46:00,536574.0,1.0,17.85,372.0
United Kingdom,13777.0,2010-12-01 16:01:00,536575.0,8.0,1552.98,372.0
United Kingdom,13777.0,2010-12-01 16:11:00,536576.0,16.0,2558.42,372.0
United Kingdom,13777.0,2010-12-01 16:13:00,536577.0,4.0,497.0,372.0
United Kingdom,17690.0,2010-12-01 16:15:00,536578.0,8.0,279.6,372.0
United Kingdom,13777.0,2010-12-01 16:16:00,536579.0,2.0,315.96000000000004,372.0
United Kingdom,17690.0,2010-12-01 16:17:00,536580.0,6.0,97.2,372.0
United Kingdom,13777.0,2010-12-01 16:19:00,536581.0,1.0,330.0,372.0
United Kingdom,12947.0,2010-12-01 16:21:00,536582.0,17.0,304.03999999999996,372.0
United Kingdom,13777.0,2010-12-01 16:21:00,536583.0,1.0,198.0,372.0
United Kingdom,13777.0,2010-12-01 16:22:00,536584.0,1.0,1132.8000000000002,372.0
United Kingdom,17460.0,2010-12-01 16:24:00,536585.0,1.0,19.9,372.0
United Kingdom,18229.0,2010-12-01 16:25:00,536586.0,7.0,344.2,372.0
United Kingdom,14142.0,2010-12-01 16:33:00,536587.0,22.0,311.81,372.0
United Kingdom,17069.0,2010-12-01 16:49:00,536588.0,11.0,277.05,372.0
United Kingdom,13065.0,2010-12-01 16:52:00,536590.0,14.0,205.85999999999999,372.0
United Kingdom,14606.0,2010-12-01 16:57:00,536591.0,40.0,198.32,372.0
United Kingdom,16835.0,2010-12-01 17:15:00,536593.0,5.0,81.75,372.0
United Kingdom,15235.0,2010-12-01 17:22:00,536594.0,5.0,79.5,372.0
United Kingdom,13576.0,2010-12-01 17:24:00,536595.0,11.0,349.15,372.0
United Kingdom,18011.0,2010-12-01 17:35:00,536597.0,28.0,102.79,372.0
United Kingdom,13090.0,2010-12-02 07:48:00,536598.0,4.0,160.6,372.0
United Kingdom,15694.0,2010-12-02 07:49:00,536599.0,6.0,306.4,372.0
United Kingdom,17850.0,2010-12-02 08:32:00,536600.0,12.0,251.62,372.0
United Kingdom,17850.0,2010-12-02 08:33:00,536601.0,2.0,22.200000000000003,372.0
United Kingdom,17850.0,2010-12-02 08:34:00,536602.0,12.0,163.76000000000002,372.0
United Kingdom,17850.0,2010-12-02 08:40:00,536603.0,2.0,22.200000000000003,372.0
United Kingdom,14741.0,2010-12-02 08:43:00,536604.0,9.0,184.5,372.0
United Kingdom,13715.0,2010-12-02 08:52:00,536605.0,15.0,272.65,372.0
United Kingdom,17732.0,2010-12-02 09:29:00,536607.0,18.0,303.96999999999997,372.0
United Kingdom,12855.0,2010-12-02 09:37:00,536608.0,3.0,38.1,372.0
United Kingdom,17850.0,2010-12-02 09:41:00,536609.0,16.0,244.45999999999998,372.0
United Kingdom,17850.0,2010-12-02 09:42:00,536610.0,2.0,22.200000000000003,372.0
United Kingdom,15752.0,2010-12-02 09:43:00,536611.0,14.0,259.65,372.0
United Kingdom,17850.0,2010-12-02 09:44:00,536612.0,15.0,206.76000000000002,372.0
United Kingdom,17855.0,2010-12-02 09:44:00,536613.0,17.0,208.97,372.0
United Kingdom,17850.0,2010-12-02 09:44:00,536614.0,2.0,22.200000000000003,372.0
United Kingdom,14047.0,2010-12-02 10:09:00,536615.0,12.0,286.92,372.0
United Kingdom,17925.0,2010-12-02 10:10:00,536616.0,1.0,244.08,372.0
United Kingdom,13941.0,2010-12-02 10:17:00,536617.0,11.0,1095.12,372.0
United Kingdom,17017.0,2010-12-02 10:17:00,536618.0,21.0,780.12,372.0
United Kingdom,17017.0,2010-12-02 10:18:00,536619.0,2.0,97.19999999999999,372.0
United Kingdom,14135.0,2010-12-02 10:27:00,536620.0,23.0,485.25,372.0
United Kingdom,13108.0,2010-12-02 10:35:00,536621.0,10.0,350.05999999999995,372.0
United Kingdom,15601.0,2010-12-02 10:39:00,536623.0,48.0,768.3800000000001,372.0
United Kingdom,13418.0,2010-12-02 10:45:00,536624.0,22.0,610.64,372.0
United Kingdom,13418.0,2010-12-02 10:46:00,536626.0,1.0,12.600000000000001,372.0
United Kingdom,15658.0,2010-12-02 10:53:00,536627.0,14.0,306.2,372.0
United Kingdom,17850.0,2010-12-02 10:54:00,536628.0,16.0,230.55999999999997,372.0
United Kingdom,17850.0,2010-12-02 10:55:00,536629.0,2.0,22.200000000000003,372.0
United Kingdom,17850.0,2010-12-02 10:56:00,536630.0,16.0,244.45999999999998,372.0
United Kingdom,17850.0,2010-12-02 10:58:00,536631.0,2.0,22.200000000000003,372.0
United Kingdom,14388.0,2010-12-02 11:02:00,536632.0,21.0,312.79999999999995,372.0
United Kingdom,14901.0,2010-12-02 11:20:00,536633.0,18.0,204.15,372.0
United Kingdom,18041.0,2010-12-02 11:21:00,536634.0,14.0,193.78,372.0
United Kingdom,15955.0,2010-12-02 11:22:00,536635.0,20.0,572.38,372.0
United Kingdom,15070.0,2010-12-02 11:23:00,536636.0,1.0,106.2,372.0
United Kingdom,18041.0,2010-12-02 11:35:00,536637.0,67.0,235.15999999999997,372.0
United Kingdom,16244.0,2010-12-02 11:41:00,536638.0,63.0,1056.6299999999999,372.0
United Kingdom,15111.0,2010-12-02 11:45:00,536639.0,16.0,288.5,372.0
United Kingdom,12748.0,2010-12-02 11:46:00,536641.0,1.0,4.25,372.0
United Kingdom,14390.0,2010-12-02 11:57:00,536643.0,27.0,223.7,372.0
United Kingdom,16546.0,2010-12-02 12:07:00,536663.0,6.0,299.40000000000003,372.0
United Kingdom,15260.0,2010-12-02 12:09:00,536667.0,16.0,362.5,372.0
United Kingdom,15260.0,2010-12-02 12:09:00,536670.0,1.0,58.0,372.0
United Kingdom,13305.0,2010-12-02 12:10:00,536671.0,5.0,136.2,372.0
United Kingdom,14491.0,2010-12-02 12:10:00,536672.0,4.0,127.2,372.0
United Kingdom,14060.0,2010-12-02 12:11:00,536673.0,8.0,339.84,372.0
United Kingdom,15923.0,2010-12-02 12:16:00,536674.0,21.0,127.08000000000001,372.0
United Kingdom,16752.0,2010-12-02 12:18:00,536676.0,9.0,207.5,372.0
United Kingdom,17287.0,2010-12-02 12:22:00,536681.0,13.0,113.91999999999999,372.0
United Kingdom,17850.0,2010-12-02 12:23:00,536685.0,17.0,380.46000000000004,372.0
United Kingdom,17850.0,2010-12-02 12:24:00,536688.0,2.0,22.200000000000003,372.0
United Kingdom,17850.0,2010-12-02 12:25:00,536690.0,17.0,331.26,372.0
United Kingdom,17850.0,2010-12-02 12:26:00,536693.0,2.0,22.200000000000003,372.0
United Kingdom,15363.0,2010-12-02 12:28:00,536698.0,16.0,326.0,372.0
United Kingdom,12915.0,2010-12-02 12:33:00,536707.0,13.0,199.64999999999998,372.0
United Kingdom,15544.0,2010-12-02 12:47:00,536732.0,26.0,354.53999999999996,372.0
United Kingdom,15738.0,2010-12-02 12:50:00,536733.0,14.0,329.65000000000003,372.0
United Kingdom,17381.0,2010-12-02 12:58:00,536735.0,1.0,211.2,371.0
United Kingdom,17381.0,2010-12-02 12:59:00,536736.0,5.0,824.88,371.0
United Kingdom,15827.0,2010-12-02 13:06:00,536738.0,7.0,98.18000000000002,371.0
United Kingdom,14180.0,2010-12-02 13:08:00,536739.0,12.0,201.75,371.0
United Kingdom,15827.0,2010-12-02 13:08:00,536740.0,7.0,92.75000000000001,371.0
United Kingdom,13117.0,2010-12-02 13:11:00,536741.0,15.0,202.11999999999998,371.0
United Kingdom,16916.0,2010-12-02 13:14:00,536742.0,50.0,198.07999999999998,371.0
United Kingdom,17964.0,2010-12-02 13:32:00,536743.0,35.0,261.76,371.0
United Kingdom,14466.0,2010-12-02 13:36:00,536744.0,10.0,379.74999999999994,371.0
United Kingdom,17235.0,2010-12-02 13:38:00,536745.0,10.0,341.9,371.0
United Kingdom,16510.0,2010-12-02 13:39:00,536746.0,13.0,248.10000000000002,371.0
United Kingdom,17802.0,2010-12-02 13:44:00,536747.0,12.0,100.19999999999999,371.0
United Kingdom,15107.0,2010-12-02 13:45:00,536748.0,5.0,116.0,371.0
United Kingdom,17976.0,2010-12-02 13:49:00,536749.0,65.0,353.19000000000005,371.0
United Kingdom,17850.0,2010-12-02 14:04:00,536750.0,19.0,434.8,371.0
United Kingdom,17850.0,2010-12-02 14:05:00,536751.0,2.0,22.200000000000003,371.0
United Kingdom,17850.0,2010-12-02 14:06:00,536752.0,19.0,390.65999999999997,371.0
United Kingdom,17850.0,2010-12-02 14:07:00,536753.0,2.0,22.200000000000003,371.0
United Kingdom,14449.0,2010-12-02 14:09:00,536754.0,50.0,210.24,371.0
United Kingdom,16781.0,2010-12-02 14:26:00,536759.0,17.0,311.25,371.0
United Kingdom,13491.0,2010-12-02 14:30:00,536761.0,7.0,98.9,371.0
United Kingdom,16186.0,2010-12-02 14:40:00,536762.0,20.0,307.68000000000006,371.0
United Kingdom,17685.0,2010-12-02 14:42:00,536763.0,12.0,452.52,371.0
United Kingdom,17581.0,2010-12-02 14:47:00,536769.0,31.0,668.4,371.0
United Kingdom,17581.0,2010-12-02 14:49:00,536771.0,7.0,118.38,371.0
United Kingdom,15732.0,2010-12-02 15:00:00,536777.0,5.0,138.1,371.0
United Kingdom,13138.0,2010-12-02 15:03:00,536778.0,14.0,193.23000000000002,371.0
United Kingdom,15823.0,2010-12-02 15:08:00,536779.0,1.0,15.0,371.0
United Kingdom,17460.0,2010-12-02 15:14:00,536781.0,1.0,50.400000000000006,371.0
United Kingdom,17567.0,2010-12-02 15:18:00,536782.0,27.0,517.9499999999999,371.0
United Kingdom,15061.0,2010-12-02 15:19:00,536783.0,38.0,4076.48,371.0
United Kingdom,15061.0,2010-12-02 15:20:00,536784.0,25.0,2170.9,371.0
United Kingdom,15061.0,2010-12-02 15:22:00,536785.0,6.0,2730.96,371.0
United Kingdom,15061.0,2010-12-02 15:23:00,536786.0,2.0,324.0,371.0
United Kingdom,17850.0,2010-12-02 15:24:00,536787.0,13.0,192.46,371.0
United Kingdom,15061.0,2010-12-02 15:25:00,536788.0,1.0,75.0,371.0
United Kingdom,17850.0,2010-12-02 15:25:00,536789.0,2.0,22.200000000000003,371.0
United Kingdom,17850.0,2010-12-02 15:26:00,536790.0,17.0,532.01,371.0
United Kingdom,17850.0,2010-12-02 15:27:00,536791.0,2.0,44.400000000000006,371.0
United Kingdom,15061.0,2010-12-02 15:28:00,536792.0,1.0,30.0,371.0
United Kingdom,16203.0,2010-12-02 15:39:00,536793.0,11.0,170.7,371.0
United Kingdom,13767.0,2010-12-02 15:40:00,536794.0,4.0,322.79999999999995,371.0
United Kingdom,15640.0,2010-12-02 15:40:00,536795.0,7.0,333.7199999999999,371.0
United Kingdom,15574.0,2010-12-02 15:46:00,536796.0,121.0,375.65,371.0
United Kingdom,16770.0,2010-12-02 15:49:00,536797.0,6.0,130.8,371.0
United Kingdom,17838.0,2010-12-02 15:55:00,536798.0,31.0,717.1600000000002,371.0
United Kingdom,17228.0,2010-12-02 16:00:00,536799.0,18.0,183.3,371.0
United Kingdom,14829.0,2010-12-02 16:12:00,536800.0,19.0,236.96999999999997,371.0
United Kingdom,17412.0,2010-12-02 16:29:00,536802.0,8.0,197.3,371.0
EIRE,14911.0,2010-12-02 16:33:00,536803.0,1.0,22.5,371.0
United Kingdom,14031.0,2010-12-02 16:34:00,536804.0,25.0,1714.25,371.0
United Kingdom,14775.0,2010-12-02 16:38:00,536805.0,20.0,406.55999999999995,371.0
United Kingdom,12971.0,2010-12-02 16:42:00,536806.0,5.0,45.120000000000005,371.0
United Kingdom,17659.0,2010-12-02 16:46:00,536808.0,12.0,247.8,371.0
United Kingdom,15299.0,2010-12-02 16:48:00,536809.0,1.0,1003.2,371.0
United Kingdom,15299.0,2010-12-02 16:50:00,536810.0,1.0,303.96,371.0
United Kingdom,15299.0,2010-12-02 16:51:00,536811.0,1.0,527.85,371.0
United Kingdom,15646.0,2010-12-02 16:59:00,536813.0,17.0,189.8,371.0
United Kingdom,13402.0,2010-12-02 17:12:00,536819.0,17.0,308.28,371.0
United Kingdom,17757.0,2010-12-02 17:17:00,536821.0,23.0,143.45,371.0
United Kingdom,13011.0,2010-12-02 17:22:00,536823.0,3.0,50.550000000000004,371.0
United Kingdom,13798.0,2010-12-02 17:24:00,536824.0,1.0,408.0,371.0
United Kingdom,16754.0,2010-12-02 17:38:00,536830.0,2.0,2002.4,371.0
United Kingdom,16029.0,2010-12-02 17:40:00,536831.0,4.0,569.4,371.0
United Kingdom,16634.0,2010-12-02 17:41:00,536832.0,8.0,164.8,371.0
United Kingdom,18239.0,2010-12-02 17:48:00,536833.0,29.0,438.09999999999997,371.0
United Kingdom,14576.0,2010-12-02 17:51:00,536834.0,1.0,35.400000000000006,371.0
United Kingdom,13145.0,2010-12-02 18:06:00,536835.0,1.0,295.0,371.0
United Kingdom,18168.0,2010-12-02 18:08:00,536836.0,27.0,263.29999999999995,371.0
United Kingdom,14395.0,2010-12-02 18:15:00,536837.0,27.0,308.67999999999995,371.0
United Kingdom,14865.0,2010-12-02 18:23:00,536838.0,3.0,37.2,371.0
United Kingdom,15093.0,2010-12-02 18:25:00,536839.0,16.0,623.73,371.0
Germany,12738.0,2010-12-02 18:27:00,536840.0,11.0,155.35,371.0
United Kingdom,16150.0,2010-12-02 18:27:00,536841.0,22.0,393.41999999999996,371.0
United Kingdom,17552.0,2010-12-02 18:45:00,536842.0,11.0,263.62,371.0
United Kingdom,17552.0,2010-12-02 18:46:00,536843.0,2.0,34.9,371.0
United Kingdom,14236.0,2010-12-02 18:49:00,536844.0,3.0,189.3,371.0
United Kingdom,17961.0,2010-12-02 19:18:00,536845.0,29.0,127.55000000000001,371.0
United Kingdom,14573.0,2010-12-02 19:59:00,536846.0,76.0,413.09999999999997,371.0
United Kingdom,17135.0,2010-12-03 09:31:00,536847.0,9.0,215.58,371.0
United Kingdom,13408.0,2010-12-03 09:39:00,536848.0,3.0,534.0,371.0
United Kingdom,17396.0,2010-12-03 09:45:00,536849.0,3.0,397.5,371.0
United Kingdom,12967.0,2010-12-03 09:49:00,536851.0,15.0,1368.4,371.0
France,12686.0,2010-12-03 09:51:00,536852.0,7.0,89.14,371.0
United Kingdom,13370.0,2010-12-03 10:26:00,536856.0,39.0,754.8700000000001,371.0
United Kingdom,16883.0,2010-12-03 10:33:00,536857.0,17.0,128.02999999999997,371.0
Switzerland,13520.0,2010-12-03 10:36:00,536858.0,6.0,303.4,371.0
United Kingdom,12841.0,2010-12-03 10:43:00,536859.0,24.0,294.25,371.0
United Kingdom,16905.0,2010-12-03 10:43:00,536860.0,10.0,254.39999999999998,371.0
Germany,12427.0,2010-12-03 10:44:00,536861.0,10.0,303.5,371.0
United Kingdom,17967.0,2010-12-03 11:19:00,536863.0,48.0,123.07,371.0
United Kingdom,16891.0,2010-12-03 11:35:00,536874.0,69.0,232.26,371.0
United Kingdom,14589.0,2010-12-03 11:42:00,536884.0,3.0,39.75,371.0
EIRE,14156.0,2010-12-03 11:48:00,536890.0,3.0,322.2,371.0
United Kingdom,14680.0,2010-12-03 12:05:00,536938.0,14.0,1680.8799999999999,371.0
United Kingdom,17884.0,2010-12-03 12:11:00,536943.0,28.0,187.51000000000002,371.0
Spain,12557.0,2010-12-03 12:20:00,536944.0,5.0,620.0,371.0
United Kingdom,14083.0,2010-12-03 12:24:00,536945.0,66.0,309.53999999999996,371.0
United Kingdom,13013.0,2010-12-03 12:28:00,536946.0,29.0,841.9399999999999,371.0
United Kingdom,13013.0,2010-12-03 12:29:00,536947.0,38.0,686.4,371.0
United Kingdom,17809.0,2010-12-03 12:41:00,536954.0,1.0,425.0,371.0
United Kingdom,14210.0,2010-12-03 12:43:00,536956.0,15.0,304.95,371.0
United Kingdom,17809.0,2010-12-03 12:43:00,536957.0,13.0,791.7000000000002,371.0
United Kingdom,16477.0,2010-12-03 12:48:00,536960.0,14.0,225.65,371.0
Germany,12600.0,2010-12-03 12:57:00,536967.0,2.0,76.5,370.0
United Kingdom,16013.0,2010-12-03 13:09:00,536968.0,2.0,534.0,370.0
United Kingdom,16013.0,2010-12-03 13:10:00,536969.0,1.0,528.0,370.0
United Kingdom,17949.0,2010-12-03 13:12:00,536970.0,1.0,1314.0,370.0
Poland,12779.0,2010-12-03 13:40:00,536971.0,8.0,248.15999999999997,370.0
United Kingdom,16926.0,2010-12-03 13:42:00,536972.0,14.0,230.25000000000003,370.0
United Kingdom,17787.0,2010-12-03 13:43:00,536973.0,31.0,736.28,370.0
France,12682.0,2010-12-03 13:59:00,536974.0,16.0,336.24,370.0
EIRE,14911.0,2010-12-03 14:04:00,536975.0,71.0,1705.6500000000003,370.0
United Kingdom,14723.0,2010-12-03 14:18:00,536976.0,19.0,149.79999999999998,370.0
United Kingdom,17954.0,2010-12-03 14:18:00,536977.0,14.0,108.78,370.0
United Kingdom,17819.0,2010-12-03 14:26:00,536980.0,12.0,591.4699999999999,370.0
United Kingdom,14723.0,2010-12-03 14:26:00,536981.0,24.0,101.13999999999999,370.0
Germany,12712.0,2010-12-03 14:30:00,536983.0,9.0,175.53,370.0
United Kingdom,17841.0,2010-12-03 14:35:00,536984.0,29.0,339.5399999999999,370.0
United Kingdom,15373.0,2010-12-03 14:40:00,536985.0,11.0,334.3,370.0
United Kingdom,16140.0,2010-12-03 14:40:00,536986.0,7.0,124.14,370.0
United Kingdom,17198.0,2010-12-03 14:54:00,536987.0,53.0,272.01,370.0
United Kingdom,17238.0,2010-12-03 15:05:00,536988.0,38.0,254.39,370.0
United Kingdom,17238.0,2010-12-03 15:10:00,536989.0,22.0,115.7,370.0
Portugal,12793.0,2010-12-03 15:14:00,536990.0,7.0,131.8,370.0
United Kingdom,15769.0,2010-12-03 15:16:00,536992.0,1.0,91.8,370.0
United Kingdom,14396.0,2010-12-03 15:19:00,536993.0,34.0,110.35000000000001,370.0
United Kingdom,14898.0,2010-12-03 15:25:00,536994.0,3.0,98.50000000000001,370.0
Italy,12725.0,2010-12-03 15:45:00,537022.0,24.0,427.8,370.0
United Kingdom,16725.0,2010-12-03 16:02:00,537023.0,25.0,122.15,370.0
Belgium,12395.0,2010-12-03 16:35:00,537026.0,12.0,346.09999999999997,370.0
United Kingdom,16455.0,2010-12-03 16:44:00,537030.0,13.0,246.3,370.0
United Kingdom,16455.0,2010-12-03 16:45:00,537031.0,6.0,135.0,370.0
United Kingdom,13081.0,2010-12-03 17:20:00,537034.0,73.0,2355.1800000000003,370.0
United Kingdom,13081.0,2010-12-03 17:21:00,537035.0,1.0,11.6,370.0
United Kingdom,15545.0,2010-12-03 17:28:00,537036.0,31.0,135.32999999999998,370.0
United Kingdom,17243.0,2010-12-05 10:03:00,537037.0,11.0,256.9,369.0
United Kingdom,15465.0,2010-12-05 10:12:00,537038.0,7.0,535.75,369.0
United Kingdom,13089.0,2010-12-05 10:27:00,537040.0,2.0,734.3999999999999,369.0
United Kingdom,16033.0,2010-12-05 10:36:00,537041.0,26.0,155.63999999999996,369.0
